[字幕1] 皆さん、こんにちは。タイツです。  
[字幕69] 技術検証プロセスの一環と見る向きも多く、  
[字幕70] マーケットの反応は  
[字幕71] 「度合い」と「原因の解明」によって  
[字幕72] 変わってきそうです。  

[字幕73] ニュース4：オックスフォード大学  
[字幕74] ハラスメント対応で政治家が追及へ  

[画像4] https://www.bloomberg.com/news/articles/2025-11-21/politician-to-question-oxford-university-over-harassment-record  

[字幕75] イギリスの有力大学オックスフォードに対し、  
[字幕76] 性的ハラスメントの訴えへの対応が遅く、  
[字幕77] 不適切だったケースが複数あったとする  
[字幕78] 調査報道を受け、  
[字幕79] 英国の政治家が大学側を  
[字幕80] 公に追及する構えです。  

[字幕81] これは、  
[字幕82] ・大学・研究機関のガバナンス  
[字幕83] ・職場環境におけるコンプライアンス  
[字幕84] ・ESGの「S（社会）」要因  
[字幕85] として、  
[字幕86] 教育関連債や大学と関係の深い  
[字幕87] 産学連携企業にとっても  
[字幕88] 無視できないテーマです。  

[字幕89] 投資家の間では、  
[字幕90] 「不祥事リスク＝資金調達コスト上昇」  
[字幕91] という見方が広がっており、  
[字幕92] 名門大学であっても  
[字幕93] ガバナンス評価は厳しく見られる  
[字幕94] 時代になっています。  

[字幕95] ニュース5：ポーランド  
[字幕96] 新ベンチマーク金利連動の国債を初発行  

[画像5] https://www.bloomberg.com/news/articles/2025-11-21/poland-sells-debut-bonds-linked-to-new-interbank-benchmark-rate  

[字幕97] ポーランド政府は、  
[字幕98] 従来の「Wibor」金利に代わる  
[字幕99] 新たなマネーマーケット指標に連動した  
[字幕100] 国債を初めて発行しました。  
[字幕101] 2027年末までにWiborを  
[字幕102] 段階的に廃止する計画の一環です。  

[字幕103] これは、  
[字幕104] ・LIBOR廃止後の世界的な  
[字幕105] 「金利指標の再編」  
[字幕106] ・透明性・信頼性の高い指標への移行  
[字幕107] という流れの中で、  
[字幕108] 東欧市場の重要な一歩となります。  

[字幕109] 投資家にとっては、  
[字幕110] ・金利リスクの計測方法  
[字幕111] ・デリバティブやローン契約の再設計  
[字幕112] ・新ベンチマークの流動性・信頼度  
[字幕113] が焦点となり、  
[字幕114] エマージング欧州債券市場の整備が進む  
[字幕115] 期待も高まります。  

[字幕116] ニュース6：ホワイトハウスのウクライナ和平案  
[字幕117] 「容認すべきでない」との辛辣な論評  

[画像6] https://www.bloomberg.com/opinion/articles/2025-11-21/white-house-ukraine-plan-is-shameless-and-should-be-rejected  

[字幕118] 米ホワイトハウスが提示したとされる  
[字幕119] ウクライナ戦争終結案について、  
[字幕120] 「侵略を報い、被害者を罰する内容だ」  
[字幕121] 「武力による国境変更を認めかねない」  
[字幕122] といった厳しい批判を展開する  
[字幕123] オピニオン記事が出ています。  

[字幕124] これはオピニオンであり、  
[字幕125] 公式政策そのものではありませんが、  
[字幕126] ・地政学リスクの長期化  
[字幕127] ・NATOとロシアの安全保障バランス  
[字幕128] ・エネルギー・穀物市場への波及  
[字幕129] など、マーケットが常に注視している  
[字幕130] テーマと直結します。  

[字幕131] 投資家は、  
[字幕132] ・国債利回りの安全資産需要  
[字幕133] ・防衛関連株  
[字幕134] ・欧州株式のリスクプレミアム  
[字幕135] といった形で、  
[字幕136] この種のニュースを  
[字幕137] 織り込んでいくことになります。  

[字幕138] ニュース7：ビットコイン急落で  
[字幕139] セイラー氏の優先証券モデルに黄信号  

[画像7] https://www.bloomberg.com/news/articles/2025-11-21/saylor-s-preferreds-boom-comes-into-question-as-bitcoin-slumps  

[字幕140] ビットコイン価格の下落が続く中、  
[字幕141] マイケル・セイラー氏率いる企業が、  
[字幕142] ビットコイン購入資金として  
[字幕143] 大量発行してきた「優先証券」の  
[字幕144] ビジネスモデルに疑問符が  
[字幕145] つき始めています。  

[字幕146] 仕組みとしては、  
[字幕147] ・優先証券を発行して資金調達  
[字幕148] ・その資金でビットコインを大量購入  
[字幕149] ・ビットコイン価格上昇で  
[字幕150] レバレッジ効果を狙う  
[字幕151] というものですが、  
[字幕152] 価格下落局面では、  
[字幕153] ・バランスシートの毀損  
[字幕154] ・優先証券投資家のリスク顕在化  
[字幕155] ・追加担保やリファイナンスの難化  
[字幕156] といった問題が  
[字幕157] 一気に表面化します。  

[字幕158] 暗号資産関連企業への投資は、  
[字幕159] 「ビットコイン価格」だけでなく、  
[字幕160] 「資金調達構造」も精査する必要があることを  
[字幕161] 改めて示すケースとなりそうです。  

[字幕162] ニュース8：英防衛大手バブコック  
[字幕163] 欧州の軍拡で軍艦受注を積極獲得へ  

[画像8] https://www.bloomberg.com/news/articles/2025-11-21/uk-defense-firm-babcock-pursues-warship-deals-amid-strong-demand  

[字幕164] イギリスの防衛企業  
[字幕165] バブコック・インターナショナルが、  
[字幕166] 欧州各国の防衛費増額を背景に、  
[字幕167] 軍艦の国際受注案件を  
[字幕168] 積極的に狙っていると報じられました。  

[字幕169] ウクライナ戦争以降、  
[字幕170] ・NATO諸国の防衛予算拡大  
[字幕171] ・海洋安全保障の重要性増大  
[字幕172] により、防衛関連企業には  
[字幕173] 長期的な受注の追い風が吹いています。  

[字幕174] 投資家の視点では、  
[字幕175] ・防衛セクターは景気循環とやや独立した  
[字幕176] 「政策ドリブン」銘柄  
[字幕177] ・ESG投資の観点から賛否が分かれる領域  
[字幕178] という二面性があり、  
[字幕179] ポートフォリオの中での位置づけが  
[字幕180] 問われるテーマでもあります。  

[字幕181] ニュース9：ロンドン地下鉄ハッキング事件  
[字幕182] 10代の若者2人が無罪を主張  

[画像9] https://www.bloomberg.com/news/articles/2025-11-21/two-teens-plead-not-guilty-to-charges-over-london-tube-hack  

[字幕183] ロンドンの交通ネットワークに対する  
[字幕184] サイバー攻撃を巡り、  
[字幕185] イギリス人の10代の若者2人が起訴されましたが、  
[字幕186] 裁判で無罪を主張しています。  

[字幕187] この事件は、  
[字幕188] ・公共インフラのサイバーセキュリティ脆弱性  
[字幕189] ・若年ハッカーと犯罪・倫理の問題  
[字幕190] を浮き彫りにしています。  

[字幕191] マーケット的には、  
[字幕192] ・サイバーセキュリティ関連株への  
[字幕193] 長期的な需要期待  
[字幕194] ・公共交通機関やインフラ運営企業の  
[字幕195] リスク管理コスト増  
[字幕196] といった形で  
[字幕197] 影響が波及する可能性があります。  

[字幕198] ニュース10：米国債が数週間ぶりの大幅高  
[字幕199] 株安で「リスクオフ」鮮明に  

[画像10] https://www.bloomberg.com/news/articles/2025-11-21/treasuries-buoyed-by-risk-off-tone-set-for-biggest-gain-in-weeks  

[字幕200] 米国株が軟調となる中、  
[字幕201] 安全資産である米国債に資金が流入し、  
[字幕202] 米国債は数週間ぶりの大幅な週間上昇と  
[字幕203] なる見通しです。  
[字幕204] 市場では、  
[字幕205] ・FRBが来月利下げに踏み切るかどうか  
[字幕206] について見方が分かれているものの、  
[字幕207] 「リスクオフ」のムードが勝った形です。  

[字幕208] ポイントは、  
[字幕209] ・株安＋債券高＝典型的な  
[字幕210] リスクオフの組み合わせ  
[字幕211] ・長期金利の低下は、  
[字幕212] ハイテク株や不動産株にとって  
[字幕213] 支援材料にもなりうる  
[字幕214] ・一方で、金融株やドル相場には  
[字幕215] 別の影響も  
[字幕216] という、セクターごとの温度差です。  

[字幕217] ポートフォリオ運用では、  
[字幕218] ・金利感応度（デュレーション）の調整  
[字幕219] ・株式と債券の相関の変化  
[字幕220] に注意が必要な局面と言えます。  

[字幕221] ニュース11：インドのメルカリ的存在？「Meesho」  
[字幕222] 12月IPOで約60億ドル評価を目指す  

[画像11] https://www.bloomberg.com/news/articles/2025-11-21/meesho-eyes-6-billion-valuation-with-december-india-ipo  

[字幕223] インドのECプラットフォーム  
[字幕224] 「Meesho（ミーショ）」が、  
[字幕225] 12月前半のIPOで  
[字幕226] 約5,300億ルピー（約60億ドル）の  
[字幕227] 企業評価を目指していると報じられました。  

[字幕228] Meeshoは、  
[字幕229] ・中小事業者や個人販売者が  
[字幕230] SNSなどを通じて商品を販売できる  
[字幕231] 「ソーシャルコマース」色の強いビジネスモデル  
[字幕232] ・インドの地方都市・低所得層にも  
[字幕233] リーチするプラットフォーム  
[字幕234] として成長してきました。  

[字幕235] インド市場は、  
[字幕236] ・人口ボーナス  
[字幕237] ・デジタルインフラ整備  
[字幕238] を背景に、  
[字幕239] EC・フィンテック企業の上場が続いており、  
[字幕240] グローバル投資家にとって  
[字幕241] 「次の成長フロンティア」として  
[字幕242] 注目が集まっています。  

[字幕243] ニュース12：ローマ発ニューヨーク行き14泊クルーズ  
[字幕244] 「時差ボケゼロ」の旅という選択肢  

[画像12] https://www.wsj.com/lifestyle/travel/i-traded-jet-lag-for-sea-days-on-a-14-night-cruise-from-rome-to-new-york-753e2c3a?mod=wsjhp_columnists_pos_1  

[字幕245] ウォール・ストリート・ジャーナルの  
[字幕246] トラベルコラムでは、  
[字幕247] ローマからニューヨークまで14泊のクルーズで移動し、  
[字幕248] 「時差ボケを海上の日々に置き換えた」という  
[字幕249] 体験談が紹介されています。  

[字幕250] これはライフスタイル記事ですが、  
[字幕251] ・ラグジュアリートラベル需要の底堅さ  
[字幕252] ・クルーズ業界の収益回復  
[字幕253] ・高所得者層の消費トレンド  
[字幕254] を映し出す一例でもあります。  

[字幕255] 旅行・レジャー関連株や、  
[字幕256] クルーズ会社の業績を読むうえで、  
[字幕257] こうした「体験型」記事は、  
[字幕258] 定量データには出にくい需要の質を測る  
[字幕259] ヒントになります。  

[字幕260] ニュース13：ホワイトエレファント・ギフト  
[字幕261] 「争奪戦必至」の24選  

[画像13] https://www.wsj.com/buyside/gifts/gift-guides/white-elephant-gift-ideas?mod=wsj_hp_buyside_pos3  

[字幕262] アメリカの年末恒例イベント  
[字幕263] 「ホワイトエレファント・ギフト交換」で  
[字幕264] 盛り上がること間違いなしの  
[字幕265] 24アイテムを紹介するギフトガイドです。  

[字幕266] 一見、軽い話題ですが、  
[字幕267] ・ホリデーシーズンの消費動向  
[字幕268] ・オンライン小売の販売戦略  
[字幕269] ・SNS映えする「ネタ商品」需要  
[字幕270] を反映したコンテンツで、  
[字幕271] 小売業界にとっては  
[字幕272] 重要な商戦期の一コマです。  

[字幕273] 投資家は、  
[字幕274] 実店舗・EC双方の売上トレンドや、  
[字幕275] ギフト需要の強さを  
[字幕276] こうした記事からも読み取っています。  

[字幕277] ニュース14：旅行好きに贈りたい  
[字幕278] 「ベストギフト25選」  

[画像14] https://www.wsj.com/buyside/gifts/gift-guides/best-gifts-for-travelers?mod=wsj_hp_buyside_pos2  

[字幕279] 頻繁に旅行に出かける人向けに、  
[字幕280] 専門家が選んだ旅行用ギフト25選を  
[字幕281] 紹介する特集です。  
[字幕282] ・便利ガジェット  
[字幕283] ・収納グッズ  
[字幕284] ・快適さを高めるアイテム  
[字幕285] などが取り上げられています。  

[字幕286] こちらも、  
[字幕287] ・トラベル関連消費の回復  
[字幕288] ・ブランド品・ガジェットのクロスセル  
[字幕289] ・オンラインレビュー経由の購買行動  
[字幕290] といったテーマにつながり、  
[字幕291] 旅行業界だけでなく、  
[字幕292] D2Cブランドやガジェットメーカーにも  
[字幕293] 追い風となる分野です。  

[字幕294] ニュース15：2025年版  
[字幕295] 「注目のウェルス・マネジメント会社」6社  

[画像15] https://www.wsj.com/buyside/personal-finance/financial-advisors/best-wealth-management-firms?mod=wsj_hp_buyside_pos1  

[字幕296] ウォール・ストリート・ジャーナル系の  
[字幕297] パーソナルファイナンス記事では、  
[字幕298] ・個人向け資産運用  
[字幕299] ・包括的な財務プランニング  
[字幕300] ・フィデューシャリー（受託者責任）を重視する運用  
[字幕301] を提供する、  
[字幕302] 2025年注目のウェルス・マネジメント会社6社を  
[字幕303] 紹介しています。  

[字幕304] 世界的に、  
[字幕305] ・退職後資金の不安  
[字幕306] ・インフレと金利上昇  
[字幕307] ・相続・事業承継ニーズ  
[字幕308] が高まる中で、  
[字幕309] プロのアドバイザーに資産運用を任せる動きは  
[字幕310] 拡大しています。  

[字幕311] 個人投資家にとっては、  
[字幕312] 「どの運用会社が、  
[字幕313] 自分の長期目標と価値観に合うか」  
[字幕314] を見極めることが重要であり、  
[字幕315] 手数料だけでなく、  
[字幕316] ・提案内容の質  
[字幕317] ・透明性  
[字幕318] ・リスク管理の姿勢  
[字幕319] といった点をチェックする  
[字幕320] 必要があります。  

[字幕321] 本日は、政治・テック・宇宙・防衛・暗号資産から、  
[字幕322] 消費トレンドや個人の資産運用まで、  
[字幕323] 幅広いニュースを駆け足でご紹介しました。  
[字幕324] マーケットを動かすのは、  
[字幕325] 金利や業績だけでなく、  
[字幕326] 政策・技術・社会の変化が  
[字幕327] 複雑に絡み合った「ストーリー」です。  
[字幕328] 皆さんの投資判断やビジネスのヒントに、  
[字幕329] 少しでもお役に立てば幸いです。  

[字幕330] それでは、また次回のニュース解説でお会いしましょう。  
[字幕331] タイツでした。
